Activity Period,Operating Airline,GEO Summary,Passenger Count
201810,Sun Country Airlines,Domestic,9754
201808,Sun Country Airlines,Domestic,16360
201804,Hawaiian Airlines,Domestic,31322
201902,Asiana Airlines,International,16049
201803,All Nippon Airways,International,13772
201805,Alaska Airlines,International,27778
201902,Delta Air Lines,Domestic,256509
201902,Japan Airlines,International,11546
201905,El Al Israel Airlines LTD.,International,2948
201902,China Southern,International,16122
201812,EVA Airways,International,49795
201804,Philippine Airlines,International,25110
201811,Air India Limited,International,15714
201812,TACA,International,15294
201903,British Airways,International,33842
201907,SkyWest Airlines,International,561
201902,Alaska Airlines,Domestic,421509
201809,United Airlines,International,337440
201812,Turkish Airlines,International,19455
201803,Asiana Airlines,International,16189
201808,Iberia,International,7070
201808,Southwest Airlines,Domestic,337749
201810,Compass Airlines,Domestic,49089
201902,All Nippon Airways,International,11875
201807,Horizon Air,Domestic,12754
201808,Compass Airlines,Domestic,44925
201904,China Airlines,International,18370
201810,Iberia,International,602
201810,Southwest Airlines,Domestic,326531
201907,KLM Royal Dutch Airlines,International,32849
201904,Emirates,International,24691
201906,Finnair,International,8892
201810,Virgin Atlantic,International,25811
201909,TAP Air Portugal,International,9702
201909,United Airlines,Domestic,1315311
201904,TACA,International,14981
201808,Virgin Atlantic,International,35088
201803,China Eastern,International,20381
201904,Turkish Airlines,International,17405
201806,Swiss International,International,19694
201908,Air Canada,International,108745
201811,Philippine Airlines,International,20803
201804,Air India Limited,International,15543
201904,EVA Airways,International,46179
201802,American Airlines,Domestic,264234
201907,Air Pacific Limited dba Fiji Airways,International,6498
201802,Sun Country Airlines,Domestic,5626
201903,Qantas Airways,International,23215
201807,Lufthansa German Airlines,International,44429
201903,Air New Zealand,International,16840
201907,Icelandair EHF,International,8298
201812,Emirates,International,26129
